OrderID,CustomerID,City,Restaurant,Meal,Quantity,OrderValue,PaymentMethod,DeliveryTime(mins),OrderStatus,CustomerName,CustomerGender,CustomerAge,CustomerEmail,LoyaltyTier,CustomerSegment,RestaurantRating,RestaurantBranch,Unit Price,UnitPrice,PackagingType,Delivery Fee,DeliveryFee,DeliveryPersonID,DeliveryPersonRating,DeliveryVehicleType,ReviewComment,RepeatOrder,RefundStatus,SpecialRequest,OrderTime,DayOfWeek,Month,Month2,Year
4,6191,Asaba,Kilimanjoro,Burger & Fries,3,"?14,596.12",Wallet,76,Delivered,Sophia Taylor,Female,50,sophia.taylor@gmail.com,Gold,Business,4,Mall,"?13,030.00",$13.03,Box,"?1,178.00",$5.89,1194,5,Car,Excellent meal,Yes,Full,No,0:27:00,Tuesday,Jan,1,2022
6,7265,Abuja,Kilimanjoro,Burger & Fries,1,"?3,285.64",Card,86,Delivered,Aisha Taylor,Male,54,aisha.taylor@gmail.com,Silver,Family,5,Downtown,"?20,130.00",$20.13,Eco-friendly,?968.00,$4.84,1379,4,Car,Late delivery,Yes,None,Yes,0:00:52,Friday,Mar,3,2023
14,3433,Uyo,Sweet Sensation,Burger & Fries,2,"?4,366.92",Transfer,16,Delivered,Mary Taylor,Female,57,mary.taylor@yahoo.com,Platinum,Working Professional,1,Airport,"?21,290.00",$21.29,Reusable,"?1,076.00",$5.38,1725,1,Scooter,Excellent meal,Yes,Full,No,20:05:43,Saturday,Jan,1,2022
16,6051,Port Harcourt,Mr Biggs,Burger & Fries,1,"?6,182.40",Card,22,Delivered,Grace Taylor,Male,22,grace.taylor@hotmail.com,Bronze,Working Professional,4,Downtown,"?17,350.00",$17.35,Box,?688.00,$3.44,1946,1,Car,Excellent meal,No,Full,No,17:00:49,Friday,Aug,8,2022
25,3047,Benin City,Chopnownow,Burger & Fries,1,"?2,412.79",Cash,49,Delivered,Daniel Okoro,Female,40,daniel.okoro@gmail.com,Platinum,Family,2,Main,"?7,640.00",$7.64,Bag,?688.00,$3.44,1594,5,Bike,Late delivery,Yes,Partial,No,16:42:32,Sunday,Jan,1,2023
29,4005,Port Harcourt,Chopnownow,Burger & Fries,1,"?2,238.09",Cash,87,Delivered,John Bello,Male,57,john.bello@hotmail.com,Bronze,Working Professional,2,Mall,"?20,350.00",$20.35,Bag,?644.00,$3.22,1044,1,Scooter,Late delivery,No,Full,No,10:28:45,Tuesday,Aug,8,2024
55,4843,Port Harcourt,The Place,Burger & Fries,2,"?12,462.00",Card,66,Delivered,Emmanuel Johnson,Female,50,emmanuel.johnson@gmail.com,Platinum,Family,4,Downtown,"?14,180.00",$14.18,Box,?648.00,$3.24,1456,1,Bike,Excellent meal,Yes,Partial,No,14:25:09,Thursday,Apr,4,2023
58,6675,Benin City,Sweet Sensation,Burger & Fries,3,"?3,291.35",Cash,68,Delivered,John Adeyemi,Male,20,john.adeyemi@outlook.com,Silver,Business,5,Mall,"?22,240.00",$22.24,Reusable,?356.00,$1.78,1844,3,Scooter,Not satisfied,Yes,None,Yes,22:12:08,Saturday,Nov,11,2024
80,9006,Asaba,Mr Biggs,Burger & Fries,4,"?11,616.05",Cash,82,Delivered,Daniel George,Male,28,daniel.george@hotmail.com,Silver,Student,4,Mall,"?7,060.00",$7.06,Box,?642.00,$3.21,1082,5,Bike,Excellent meal,No,Partial,No,10:10:11,Thursday,Dec,12,2023
86,6618,Ibadan,Coldstone,Burger & Fries,2,"?14,118.15",Transfer,38,Delivered,John Taylor,Male,45,john.taylor@yahoo.com,Bronze,Business,2,Mall,"?19,140.00",$19.14,Bag,?624.00,$3.12,1846,1,Bike,Late delivery,No,None,No,17:26:04,Sunday,Jan,1,2022
